Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Power,Torque,Displacement,Fuel_Tank_Capacity,Type,Body_Type,Seating_Capacity,ARAI_Certified_Mileage,Length,Width,Height,Kerb_Weight,Ground_Clearance,Front_Brakes,Rear_Brakes,ABS_(Anti-lock_Braking_System),Airbags
,Mercedes-Benz G-Class,G 350D,"Rs. 1,50,00,000",Diesel,289PS@1200rpm,600Nm@2500rpm,2925 cc,100 litres,Automatic,SUV,7.0,,4817 mm,1931 mm,1969 mm,2453 kg,241 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags"
Audi,A8 L,55 Tfsi Quattro,"Rs. 1,56,00,000",Petrol,340PS@5000rpm,500Nm@1370rpm,2995 cc,82 litres,Automatic,Sedan,4.0,,5302 mm,1945 mm,1485 mm,2030 kg,,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Maserati,Granturismo,Sport,"Rs. 1,72,29,579",Petrol,460PS@7000RPM,520NM@4750rpm,4691 cc,86 litres,Automatic,Coupe,4.0,10 km/litre,4881 mm,1915 mm,1353 mm,1880 kg,100 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
Maserati,Quattroporte,Granlusso,"Rs. 1,79,00,000",Diesel,275PS@7000rpm,600Nm@2000-2600rpm,2987 cc,70 litres,Automatic,Sports,4.0,7.9 km/litre,5262 mm,1948 mm,1481 mm,1925 kg,100 mm,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
Lexus,Lc 500H,Coupe,"Rs. 1,96,00,000",Hybrid,299PS@6600rpm,350Nm@5100rpm,3456 cc,82 litres,Automatic,Coupe,4.0,,4770 mm,1920 mm,1345 mm,1985 kg,,Ventilated Disc,Ventilated Disc,Yes,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag"
,Mercedes-Benz Maybach,S650,"Rs. 2,73,08,312",Petrol,630PS@4800RPM,1000Nm@2300-4300rpm,5980 cc,80 litres,Automatic,Sedan,4.0,7.8 km/litre,5453 mm,1899 mm,1498 mm,2200 kg,,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags"
,Mercedes-Benz Maybach,S560,"Rs. 1,98,90,000",Petrol,453PS@5500RPM,700Nm@1800-3500RPM,4663 cc,80 litres,Automatic,Sedan,4.0,7.8 km/litre,5246 mm,1899 mm,1494 mm,2200 kg,,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Curtain airbags"
Porsche,Panamera,Turbo,"Rs. 2,12,63,000",Petrol,550PS@6000RPM,770Nm@1960 - 4500rpm,3996 cc,90 litres,Automatic,Sedan,4.0,10.63 km/litre,5049 mm,1937 mm,1427 mm,2045 kg,215 mm,Ventilated Disc,Ventilated Disc,Yes,"Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag"
Porsche,Panamera,Turbo Executive,"Rs. 2,26,13,000",Petrol,550PS@6000RPM,770Nm@1960 - 4500rpm,3996 cc,90 litres,Automatic,Sedan,4.0,10.63 km/litre,5199 mm,1937 mm,1432 mm,,215 mm,Ventilated Disc,Ventilated Disc,Yes,"Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag"
Porsche,Panamera,Turbo Sport Turismo,"Rs. 2,17,47,000",Petrol,550PS@6000RPM,770Nm@1960 - 4500rpm,3996 cc,90 litres,Automatic,Sedan,4.0,10.63 km/litre,5049 mm,1937 mm,1432 mm,,215 mm,Ventilated Disc,Ventilated Disc,Yes,"Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag"
Lexus,Lx 450D,V8,"Rs. 2,32,90,000",Diesel,261PS@6000rpm,650Nm@1600-2600rpm,4461 cc,93 litres,Automatic,SUV,7.0,18 km/litre,5080 mm,1980 mm,1865 mm,2660 kg,,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag"
,Mercedes-Benz S-Class Cabriolet,S500,"Rs. 2,34,91,293",Petrol,455PS@5500RPM,700Nm@1800-3500RPM,4663 cc,80 litres,Automatic,Convertible,4.0,7.8 km/litre,5027 mm,1899 mm,1417 mm,2115 kg,,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags"
Audi,R8,V10 Plus,"Rs. 2,72,45,000",Petrol,610PS@8250rpm,560Nm@6500rpm,5204 cc,75 litres,Automatic,Coupe,2.0,6.71 km/litre,4440 mm,2029 mm,1252 mm,1670 kg,110 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger side airbag, Front passenger head airbag, Drive side airbag, Front passenger curtain airbag"
Lamborghini,Urus,V8,"Rs. 3,00,00,000",Petrol,650PS@6000rpm,850Nm@2250-4500rpm,3996 cc,75 litres,Automatic,SUV,5.0,7.8 km/litre,5112 mm,2181 mm,1638 mm,2200 kg,,Ventilated Disc,Ventilated Disc,Yes,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Front passenger side airbag"
Bentley,Continental Gt,Coupe,"Rs. 3,37,91,059",Petrol,590PS@6000rpm,720Nm@1800rpm,5998 cc,90 litres,Automatic,Coupe,4.0,8.6 km/litre,4807 mm,2226 mm,1401 mm,2320 kg,142 mm,Ventilated Disc,Ventilated Disc,Yes,"Rear passenger side airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Ferrari,Portofino,V8 Convertible,"Rs. 3,50,00,000",Petrol,560PS@7500rpm,755NM@4750rpm,3855 cc,92 litres,Automatic,Convertible,2.0,9 km/litre,4569 mm,1910 mm,1320 mm,1730 kg,119 mm,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bentley,Bentayga,W12,"Rs. 4,59,41,557",Petrol,608PS@6000RPM,900Nm@1350rpm,5950 cc,85 litres,Automatic,SUV,5.0,19 km/litre,5141 mm,1998 mm,1742 mm,2422 kg,,Ventilated Disc,Ventilated Disc,Yes,"Rear passenger side airbags, Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bentley,Bentayga,V8,"Rs. 3,75,42,069",Petrol,550PS@6000RPM,770Nm@1350rpm,3996 cc,85 litres,Automatic,SUV,5.0,8.77 km/litre,5140 mm,1998 mm,1742 mm,2428 kg,,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
Aston Martin,Db 11,V12,"Rs. 4,04,56,503",Petrol,608PS@6500rpm,700Nm@1500rpm,5198 cc,80 litres,Automatic,Coupe,2.0,,4385 mm,1865 mm,1250 mm,1680 kg,130 mm,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag"
Ferrari,458 Speciale,Coupe,"Rs. 4,25,31,500",Petrol,605PS@9000rpm,540Nm@6000rpm,4497 cc,86 litres,Automatic,Coupe,2.0,9 km/litre,4571 mm,1951 mm,1203 mm,1395 kg,113 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags"
,Rolls-Royce Ghost Series Ii,6.6,"Rs. 4,67,09,733",Petrol,563PS@5250rpm,780Nm@1700rpm,6593 cc,82.5 litres,Automatic,Sedan,5.0,17.3 km/litre,5399 mm,1948 mm,1550 mm,2490 kg,150 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags"
,Rolls-Royce Ghost Series Ii,Ewb,"Rs. 5,32,47,201",Petrol,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm,6592 cc,82.5 litres,Automatic,Sedan,5.0,7.29 km/litre,5569 mm,1948 mm,1550 mm,2490 kg,150 mm,Ventilated Disc,Ventilated Disc,Yes,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Driver frontal airbag"
